"row ID","post_bugs","Ce","LCOMCK","LCOMHS","LCOMPFI","LCOMTC","NOF","WMC","line_coverage","instructions_coverage","branche_coverage","complexity_coverage","method_coverage","mutants_score","has_bugs"
"org:apache:commons:math:analysis:interpolation:DividedDifferenceInterpolator",0,8,0,0,0,0,0,5,1.0,1.0,1.0,1.0,1.0,0.84,"no"
"org:apache:commons:math:analysis:interpolation:LoessInterpolator",0,10,0,0,0,0,3,36,0.9491525423728814,0.9297994269340975,0.9333333333333333,0.8536585365853658,0.8181818181818182,0.85,"no"
"org:apache:commons:math:analysis:interpolation:MicrosphereInterpolatingFunction",0,16,0,50,50,100,4,21,0.926829268292683,0.9106382978723404,0.7916666666666666,0.6666666666666666,1.0,0.66,"no"
"org:apache:commons:math:analysis:interpolation:MicrosphereInterpolator",0,9,0,50,50,0,2,7,0.875,0.6865671641791045,0.5,0.7142857142857143,1.0,0.68,"no"
"org:apache:commons:math:analysis:interpolation:NevilleInterpolator",0,7,0,0,0,0,0,1,1.0,1.0,1.0,1.0,1.0,0.0,"no"
"org:apache:commons:math:analysis:interpolation:SplineInterpolator",0,6,0,0,0,0,0,9,0.9743589743589743,0.9591836734693877,0.9375,0.9,1.0,0.94,"no"
"org:apache:commons:math:analysis:polynomials:PolynomialFunction",0,10,0,0,0,0,1,42,0.8279569892473119,0.8462998102466793,0.7857142857142857,0.7209302325581395,0.8666666666666667,0.8,"no"
"org:apache:commons:math:analysis:polynomials:PolynomialFunctionLagrangeForm",0,9,0,67,69,130,4,29,0.8953488372093024,0.8631386861313869,0.8,0.7586206896551724,0.7777777777777778,0.82,"no"
"org:apache:commons:math:analysis:polynomials:PolynomialFunctionNewtonForm",0,7,0,67,69,130,4,16,0.8372093023255814,0.85546875,0.8125,0.7058823529411765,0.7777777777777778,0.89,"no"
"org:apache:commons:math:analysis:polynomials:PolynomialSplineFunction",0,8,0,40,50,8,3,17,1.0,1.0,1.0,1.0,1.0,0.94,"no"
"org:apache:commons:math:analysis:polynomials:PolynomialsUtils",0,11,0,0,0,0,0,11,0.9607843137254902,0.972027972027972,1.0,0.9166666666666666,0.875,0.93,"no"
"org:apache:commons:math:analysis:solvers:BrentSolver",0,8,0,0,0,0,0,32,0.9142857142857143,0.9309701492537313,0.9107142857142857,0.7837837837837838,0.6666666666666666,0.98,"no"
"org:apache:commons:math:analysis:solvers:LaguerreSolver",0,12,0,0,0,0,1,35,0.8512396694214877,0.8325434439178515,0.7037037037037037,0.6052631578947368,0.7272727272727273,0.68,"no"
"org:apache:commons:math:analysis:solvers:MullerSolver",0,8,0,0,0,0,0,33,0.819047619047619,0.8303425774877651,0.7096774193548387,0.5897435897435898,0.75,0.77,"no"
"org:apache:commons:math:analysis:solvers:NewtonSolver",0,8,0,0,0,0,0,9,0.8181818181818182,0.7872340425531915,0.75,0.75,0.8333333333333334,0.94,"no"
"org:apache:commons:math:analysis:solvers:RiddersSolver",0,7,0,0,0,0,0,19,0.7377049180327869,0.6793893129770993,0.5,0.42105263157894735,0.6666666666666666,0.76,"no"
"org:apache:commons:math:analysis:solvers:SecantSolver",0,7,0,0,0,0,0,14,0.9183673469387755,0.7945205479452054,0.9,0.75,0.6666666666666666,0.85,"no"
"org:apache:commons:math:analysis:solvers:UnivariateRealSolverFactory",0,3,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,"no"
"org:apache:commons:math:analysis:solvers:UnivariateRealSolverFactoryImpl",0,6,0,0,0,0,0,6,1.0,1.0,1.0,1.0,1.0,1.0,"no"
"org:apache:commons:math:analysis:solvers:UnivariateRealSolverImpl",0,8,16,89,98,104,6,21,0.8,0.7894736842105263,0.8181818181818182,0.7777777777777778,0.875,1.0,"no"
